Timestamp: 22.6054s. Il peer: 1.1.5.177 Unchoked: 1.1.8.141. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6054s. Il peer: 1.1.5.177 Unchoked: 1.1.7.169. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6075s. Il peer: 1.1.5.177 Unchoked: 1.1.7.237. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6076s. Il peer: 1.1.7.65 Unchoked: 1.1.7.125. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6076s. Il peer: 1.1.7.65 Unchoked: 1.1.7.241. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6095s. Il peer: 1.1.6.201 Unchoked: 1.1.7.29. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6095s. Il peer: 1.1.6.201 Unchoked: 1.1.6.93. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6095s. Il peer: 1.1.6.201 Unchoked: 1.1.7.53. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6119s. Il peer: 1.1.7.209 Unchoked: 1.1.6.45. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6119s. Il peer: 1.1.7.209 Unchoked: 1.1.6.29. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6119s. Il peer: 1.1.7.209 Unchoked: 1.1.8.49. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6443s. Il peer: 1.1.8.161 Unchoked: 1.1.6.157. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.662s. Il peer: 1.1.7.209 Unchoked: 1.1.6.209. Upload: 116.4bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.6721s. Il peer: 1.1.7.209 Unchoked: 1.1.6.21. Upload: 194.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.7053s. Il peer: 1.1.7.61 Unchoked: 1.1.7.9. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.7054s. Il peer: 1.1.7.61 Unchoked: 1.1.7.73. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.7054s. Il peer: 1.1.7.61 Unchoked: 1.1.6.53. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.7054s. Il peer: 1.1.7.61 Unchoked: 1.1.6.133. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.9137s. Il peer: 1.1.6.209 Unchoked: 1.1.7.73. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.9137s. Il peer: 1.1.6.209 Unchoked: 1.1.7.69. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.9237s. Il peer: 1.1.6.209 Unchoked: 1.1.8.81. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.9238s. Il peer: 1.1.6.209 Unchoked: 1.1.5.245. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.9624s. Il peer: 1.1.7.245 Unchoked: 1.1.7.193. Upload: 202bps, Download: 118.8bps; optimistically unchoked: 0
Timestamp: 22.9624s. Il peer: 1.1.7.245 Unchoked: 1.1.5.249. Upload: 123.6bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.9624s. Il peer: 1.1.7.245 Unchoked: 1.1.7.45. Upload: 123.6bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.9914s. Il peer: 1.1.7.213 Unchoked: 1.1.6.21. Upload: 202bps, Download: 119.2bps; optimistically unchoked: 0
Timestamp: 22.9914s. Il peer: 1.1.7.213 Unchoked: 1.1.5.213. Upload: 202bps, Download: 111.6bps; optimistically unchoked: 0
Timestamp: 22.9914s. Il peer: 1.1.7.213 Unchoked: 1.1.7.133. Upload: 202bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 22.9914s. Il peer: 1.1.7.213 Unchoked: 1.1.6.29. Upload: 123.6bps, Download: 111.2bps; optimistically unchoked: 0
Timestamp: 23.0014s. Il peer: 1.1.7.213 Unchoked: 1.1.7.133. Upload: 204bps, Download: 115.2bps; optimistically unchoked: 0
Timestamp: 23.0014s. Il peer: 1.1.7.213 Unchoked: 1.1.8.29. Upload: 202bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.0086s. Il peer: 1.1.7.241 Unchoked: 1.1.7.77. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.0375s. Il peer: 1.1.6.157 Unchoked: 1.1.8.105. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.0475s. Il peer: 1.1.6.157 Unchoked: 1.1.6.85. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.0574s. Il peer: 1.1.6.157 Unchoked: 1.1.7.97. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.0575s. Il peer: 1.1.6.157 Unchoked: 1.1.7.5. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.1448s. Il peer: 1.1.7.209 Unchoked: 1.1.7.201. Upload: 123.6bps, Download: 118.8bps; optimistically unchoked: 0
Timestamp: 23.1448s. Il peer: 1.1.7.209 Unchoked: 1.1.8.61. Upload: 123.6bps, Download: 107.6bps; optimistically unchoked: 1
Timestamp: 23.1758s. Il peer: 1.1.7.9 Unchoked: 1.1.7.77. Upload: 116.4bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.1892s. Il peer: 1.1.6.25 Unchoked: 1.1.7.245. Upload: 127.2bps, Download: 125.6bps; optimistically unchoked: 0
Timestamp: 23.1892s. Il peer: 1.1.6.25 Unchoked: 1.1.8.113. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.1892s. Il peer: 1.1.6.25 Unchoked: 1.1.6.205. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.3259s. Il peer: 1.1.8.37 Unchoked: 1.1.7.77. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.3259s. Il peer: 1.1.8.37 Unchoked: 1.1.8.77. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.3259s. Il peer: 1.1.8.37 Unchoked: 1.1.7.89. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.3259s. Il peer: 1.1.8.37 Unchoked: 1.1.5.213. Upload: 127.2bps, Download: 118.8bps; optimistically unchoked: 0
Timestamp: 23.404s. Il peer: 1.1.7.77 Unchoked: 1.1.7.157. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.4132s. Il peer: 1.1.7.77 Unchoked: 1.1.7.153. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.4133s. Il peer: 1.1.7.77 Unchoked: 1.1.6.137. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.4133s. Il peer: 1.1.7.77 Unchoked: 1.1.6.65. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.4675s. Il peer: 1.1.7.213 Unchoked: 1.1.6.45. Upload: 127.2bps, Download: 133.6bps; optimistically unchoked: 0
Timestamp: 23.4675s. Il peer: 1.1.7.213 Unchoked: 1.1.5.181. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 1
Timestamp: 23.5586s. Il peer: 1.1.6.201 Unchoked: 1.1.6.189. Upload: 209.2bps, Download: 122bps; optimistically unchoked: 0
Timestamp: 23.5586s. Il peer: 1.1.6.201 Unchoked: 1.1.8.105. Upload: 127.2bps, Download: 118.4bps; optimistically unchoked: 0
